user_id,reranked_rec
1,"[1082185, 995242, 5577022, 856942, 1074612, 940947, 9297615, 8090541, 840361, 1049998, 986947, 1004906, 1043064, 9655212, 931136, 10149640, 9527558, 958046, 991580, 1124029, 1006546, 934369, 991024, 1075074, 5582712, 1055201, 1079484, 1082269, 9527290, 1006184]"
3,"[9526563, 1053690, 835476, 1092026, 1082185, 1106523, 951590, 938700, 885697, 1110244, 1092937, 864615, 865303, 1127025, 1101174, 854405, 1008714, 889774, 932761, 1134522, 882830, 910032, 1101173, 9337581, 937791, 998206, 964594, 921345, 9527494, 904360]"
6,"[1082185, 840361, 1119051, 1037863, 1024306, 845208, 820165, 5569230, 849843, 1098844, 981760, 863447, 962568, 948650, 994928, 6534178, 13003092, 1029743, 1041259, 862349, 896369, 1127831, 9911484, 866871, 951412, 993638, 1105488, 965267, 8203834, 896613]"
7,"[1082185, 1122358, 5568378, 961554, 1013321, 1072483, 1106523, 1022003, 938700, 836281, 9338009, 828867, 840386, 1079023, 7147142, 6602729, 945627, 9836460, 1097544, 1075524, 6944571, 1112957, 1082849, 6534406, 12731436, 1025717, 871097, 6533878, 897975, 1136033]"
8,"[1082185, 5569471, 8181377, 969932, 5569230, 995785, 1116578, 840361, 1106523, 1133018, 1005186, 1110843, 950824, 923746, 1004906, 916122, 1127624, 12302069, 849843, 6534178, 972931, 865456, 862349, 6463874, 981660, 7139529, 981760, 1105433, 1003421, 981086]"
9,"[1135468, 1056005, 1040346, 1029743, 862799, 856772, 826249, 952317, 1098066, 895070, 1039126, 1070820, 860776, 1098910, 922307, 13381584, 1078763, 10456623, 1038217, 1138487, 1043301, 868015, 10456457, 6553737, 896085, 1007191, 7144132, 871756, 1120559, 1082212]"
13,"[1029743, 995242, 6534178, 1082185, 923746, 1038985, 862070, 951590, 6544236, 838602, 898466, 840361, 857736, 860975, 950439, 1011578, 1068719, 1133018, 1004906, 1058997, 893802, 826249, 878996, 909338, 965772, 1126899, 1042942, 9859111, 6554400, 5592931]"
14,"[981760, 951590, 1029743, 6533765, 1025611, 902377, 13876901, 1008673, 6534178, 1022003, 916122, 910673, 5569471, 1098066, 1013928, 8067128, 1096036, 907014, 861486, 1127758, 844165, 995242, 909894, 1056651, 932006, 893018, 900072, 861603, 929309, 861615]"
15,"[910439, 1082185, 845208, 1029743, 995242, 1070820, 860776, 995785, 923746, 945779, 901666, 1081177, 1026118, 994928, 823576, 1096343, 826249, 1034956, 1117191, 1000970, 1042616, 895268, 1028507, 1053530, 991592, 1127831, 920002, 930118, 855672, 933637]"
16,"[1082185, 6410462, 866227, 12263439, 981760, 1035843, 844179, 9834988, 1137885, 1016260, 12263788, 9835695, 848319, 1100533, 847270, 868972, 1084551, 201704, 923149, 860361, 885253, 6464080, 34873, 117847, 43871, 51716, 279994, 397896, 420647, 202291]"
18,"[1116821, 9677886, 1128477, 1082185, 840361, 6533889, 1010766, 826249, 1118878, 1022066, 948420, 835278, 847270, 870515, 855251, 976199, 961620, 995242, 831937, 970030, 1137688, 854852, 914577, 12352201, 938118, 1065017, 1001525, 841606, 1098066, 1135768]"
19,"[962229, 1029743, 6534178, 1082185, 883404, 844179, 1106523, 844165, 995242, 826249, 5568378, 6533765, 916122, 1043751, 859075, 1033615, 1044078, 879755, 1070015, 1031083, 840361, 1096317, 1098066, 1042438, 1029915, 1038746, 1000236, 1122876, 1127831, 904360]"
20,"[1126899, 6534178, 1075368, 8090536, 865330, 1058997, 10149303, 945611, 1002850, 944454, 6533765, 883404, 910109, 821556, 1082185, 840361, 1123106, 894360, 944836, 983267, 949836, 855557, 1128363, 913745, 930137, 9676923, 883299, 1055425, 953320, 1040842]"
22,"[1082185, 1070820, 1104349, 6534178, 991874, 1047619, 1018339, 995965, 962161, 13115981, 1073775, 827656, 944836, 860362, 883003, 1120362, 1023473, 1059347, 873178, 826249, 6978854, 995816, 972445, 921504, 900311, 835098, 1046756, 12301051, 824758, 853221]"
23,"[1075368, 1034176, 6534178, 1005274, 1138858, 958023, 981760, 1029743, 1065593, 1029688, 906335, 995242, 1091520, 934399, 951590, 1082185, 860776, 1076306, 1131830, 997112, 1010440, 828331, 1023830, 995785, 833754, 1051468, 838097, 8119156, 937686, 8160319]"
24,"[844165, 903230, 883404, 1092026, 859237, 1106523, 1096036, 1133018, 999971, 1036501, 908531, 9835619, 1007191, 877447, 1068719, 927191, 1082185, 1086740, 1062966, 983584, 1094308, 926905, 1053690, 1008814, 858302, 1016800, 1124695, 879755, 987037, 9526410]"
25,"[1027039, 1029743, 929018, 5568378, 995242, 9487421, 885863, 958023, 948509, 913210, 826249, 8090521, 1106523, 1082185, 883404, 861272, 1097001, 1118281, 1012284, 1075786, 1065593, 1101567, 938700, 914245, 1075793, 12324956, 944317, 854133, 980727, 844818]"
26,"[1070015, 923746, 849843, 985119, 978129, 5591154, 8119303, 9707137, 895540, 907014, 1021133, 917393, 830750, 831536, 8019216, 1013321, 1020604, 1029743, 1071342, 1084591, 1013149, 848970, 851819, 1132771, 994928, 838738, 995242, 9420312, 9858607, 957351]"
27,"[959409, 1029252, 7409957, 959345, 9419470, 1082185, 1102416, 1101589, 12599756, 883186, 918733, 7167249, 1031923, 15927661, 996425, 1071171, 1017982, 963686, 1108940, 1012284, 7441391, 887503, 1058709, 1057168, 1052920, 863529, 878302, 949616, 861445, 1003600]"
28,"[8090546, 6534030, 6533911, 870882, 916122, 926646, 1017195, 1005186, 861419, 8090556, 940947, 1112238, 6533368, 892531, 854900, 992730, 1065593, 8181451, 1035676, 6534178, 8181555, 1105120, 1038325, 5591315, 903745, 1062973, 903325, 964221, 957190, 857554]"
